interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;51798.385896;1871.667060;25977.414612;1346.760633;48.663438;675.414084;7.354598;0.265749;3.688405;22.444059;0.810987;11.255923;1.052706;0.038038;0.527943;0;0;0;22.266132;0.804558;11.166690;-112343453#1;11.62;5.83
0.00;3000.00;806271971;33286.127110;199716.762660;32.005891;446.325378;2677.952269;0.429159;2.794679;16.768075;0.002687;12.937416;77.624497;0.012440;0.507698;3.046190;0.000488;0;0;0;14.308363;85.850178;0.013758;-126303352#0;19.73;0.02
0.00;3000.00;806271971;184324.548545;15296.643033;3244.550046;2759.955854;229.041980;48.581781;16.808302;1.394880;0.295866;72.570234;6.022426;1.277409;2.930282;0.243177;0.051580;0;0;0;79.233737;6.575414;1.394702;-126303352#1;77.90;1.37
0.00;3000.00;806271971;5070409.377746;111539.711334;29088.151538;282490.763001;6214.278929;1620.605657;3520.069702;77.435081;20.194093;2129.050322;46.835204;12.214031;331.560726;7.293728;1.902112;0;0;0;2179.434418;47.943562;12.503077;-126303357#0;2653.33;15.22
0.00;3000.00;806271971;7496758.922932;90404.087102;43840.745447;140392.218915;1693.002338;821.008064;1745.954139;21.054617;10.210270;2935.162077;35.395382;17.164710;310.848257;3.748547;1.817828;0;0;0;3220.686576;38.838548;18.834446;-126303357#1;782.18;4.57
0.00;3000.00;806271971;3691995.845694;127091.079026;19638.803556;66119.962018;2276.074424;351.711378;850.950829;29.292628;4.526456;1451.756573;49.974409;7.722317;144.901604;4.988007;0.770774;0;0;0;1586.136796;54.600234;8.437125;-126303357#2;387.02;2.06
0.00;3000.00;806271971;2204919.613026;161434.016817;10053.489953;41999.240821;3074.990176;191.498567;525.286261;38.459031;2.395081;873.536360;63.956292;3.982952;80.612612;5.902083;0.367559;0;0;0;947.331833;69.359256;4.319428;-126303357#3;292.83;1.34
0.00;3000.00;806271971;12326937.916446;621004.429040;38643.964314;680279.779466;34271.021636;2132.622692;4555.101335;229.476138;14.279878;5483.168780;276.230165;17.189296;412.087918;20.760097;1.291863;0;0;0;5298.917294;266.947975;16.611682;-126303357#4;5782.41;18.13
0.00;3000.00;806271971;4904438.359229;69036.082476;17563.235967;160361.574611;2257.289027;574.269257;2126.810903;29.937514;7.616302;1940.240305;27.311300;6.948175;246.466063;3.469317;0.882617;0;0;0;2107.487829;29.665518;7.547104;-126303357#5;2198.02;7.87
0.00;3000.00;806271971;10291232.497875;147791.754397;34570.353049;164485.440660;2362.165256;552.540209;1004.643350;14.427621;3.374802;4378.395820;62.877872;14.707926;238.364351;3.423136;0.800715;0;0;0;4423.699846;63.528480;14.860112;-126303357#6;1150.81;3.87
0.00;3000.00;806271971;7851557.562832;282007.455115;36327.050548;419817.013749;15078.731413;1942.380701;2735.795473;98.262633;12.657792;3451.986825;123.986357;15.971417;254.003131;9.123130;1.175204;0;0;0;3374.788363;121.213590;15.614240;-126303358#0;3850.65;17.82
0.00;3000.00;806271971;308331.685522;22235.458091;1256.013486;11219.628488;809.107824;45.704043;157.602956;11.365598;0.642008;121.932229;8.793190;0.496701;16.305630;1.175887;0.066422;0;0;0;132.513195;9.556240;0.539803;-126303358#1;330.68;1.35
0.00;3000.00;806271971;5111135.153774;39982.804332;26197.262968;77840.354458;608.920635;398.972865;747.643499;5.848580;3.832067;1979.063590;15.481593;10.143745;161.596319;1.264117;0.828266;0;0;0;2196.495762;17.182496;11.258199;-126303358#2;1202.70;6.16
0.00;3000.00;806271971;4644422.337934;126694.858048;21734.326181;88041.712933;2401.683463;412.005448;1013.085652;27.635890;4.740898;1838.870802;50.162422;8.605294;184.209237;5.025030;0.862037;0;0;0;1995.457529;54.433940;9.338067;-126303358#4;398.34;1.86
0.00;3000.00;806271971;10361702.747592;162260.776421;49184.593176;183632.302073;2875.620025;871.659832;2032.373779;31.826289;9.647206;4190.472297;65.621385;19.891197;375.089512;5.873775;1.780463;0;0;0;4452.127648;69.718820;21.133215;-126303358#5;830.97;3.94
0.00;3000.00;806271971;6162784.928330;189526.958329;25939.927914;113562.286457;3492.433207;477.997782;1242.006929;38.196010;5.227762;2506.913180;77.096254;10.551909;196.834085;6.053329;0.828499;0;0;0;2648.177002;81.440605;11.146506;-126303358#6;824.93;3.47
0.00;3000.00;806271971;5435942.566046;142364.274973;61418.081663;249068.586763;6522.966044;2814.105303;1262.555641;33.065621;14.265005;2432.974948;63.718244;27.489005;126.429088;3.311107;1.428461;0;0;0;2336.772876;61.198766;26.402065;-126303358#7;2177.07;24.60
0.00;3000.00;806271971;2378098.173771;21361.762172;29016.481091;30647.743886;275.299743;373.949945;195.169647;1.753152;2.381372;952.534184;8.556337;11.622392;39.902500;0.358433;0.486872;0;0;0;1022.241444;9.182497;12.472929;-126303358#8;956.12;11.67
