interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;562293.311189;5564.505801;23565.475132;6494.793972;64.273072;272.194072;42.600738;0.421581;1.785379;219.733003;2.174498;9.208917;8.774613;0.086834;0.367740;0;0;0;241.706036;2.391945;10.129798;-112343450#1;245.14;10.27
0.00;3000.00;806271971;394100.026636;5056.886569;41566.556696;6533.933455;83.840036;689.147671;39.127927;0.502069;4.126905;165.978784;2.129753;17.506131;7.635830;0.097979;0.805367;0;0;0;169.406068;2.173731;17.867613;-112343453#0;81.89;8.64
0.00;3000.00;806271971;47116.751842;1702.502325;23629.527766;1222.922726;44.188716;613.308120;6.681477;0.241426;3.350829;20.448087;0.738865;10.254922;0.963275;0.034807;0.483092;0;0;0;20.253667;0.731840;10.157419;-112343453#1;11.47;5.75
0.00;3000.00;806271971;35495.474977;212972.849863;29.235717;542.782119;3256.692715;0.447060;3.284572;19.707429;0.002705;13.870915;83.225488;0.011425;0.548217;3.289304;0.000452;0;0;0;15.258116;91.548698;0.012567;-126303352#0;27.90;0.02
0.00;3000.00;806271971;186630.705123;15488.025321;2460.109994;2691.171889;223.333767;35.474221;16.566738;1.374833;0.218378;73.150144;6.070551;0.964243;2.915201;0.241925;0.038427;0;0;0;80.225056;6.657681;1.057503;-126303352#1;134.08;1.77
0.00;3000.00;806271971;4189975.631747;92171.782917;24970.716717;209218.809335;4602.430270;1246.867304;1051.889864;23.139649;6.268877;1878.873199;41.331766;11.197395;100.227126;2.204813;0.597317;0;0;0;1801.175520;39.622560;10.734345;-126303357#0;2152.37;12.83
0.00;3000.00;806271971;7271623.424727;87689.157971;44143.625624;112257.213487;1353.719789;681.476490;690.887749;8.331477;4.194151;3099.934780;37.382391;18.818681;165.168686;1.991784;1.002685;0;0;0;3125.715648;37.693285;18.975188;-126303357#1;752.11;4.57
0.00;3000.00;806271971;3509540.941333;120810.359426;19376.509378;51747.396160;1781.321727;285.702297;321.138056;11.054666;1.773034;1498.337852;51.577895;8.272466;75.306232;2.592297;0.415773;0;0;0;1508.581648;51.930521;8.329023;-126303357#2;372.49;2.06
0.00;3000.00;806271971;2003262.078771;146669.584779;9461.720350;32408.032194;2372.766237;153.068209;195.787425;14.334650;0.924735;856.145432;62.683009;4.043709;41.303159;3.024026;0.195081;0;0;0;861.109130;63.046428;4.067153;-126303357#3;284.34;1.34
0.00;3000.00;806271971;12223606.980282;615798.840316;38031.550496;660764.517088;33287.884992;2055.849729;3296.170826;166.053946;10.255442;5526.282413;278.402137;17.194032;292.965313;14.758958;0.911509;0;0;0;5254.689438;264.719871;16.349019;-126303357#4;5723.36;17.81
0.00;3000.00;806271971;4669385.776709;65727.424423;16595.659047;129224.352103;1818.993813;459.281668;701.349436;9.872367;2.492695;1988.887657;27.996073;7.068789;103.613637;1.458491;0.368258;0;0;0;2007.191971;28.253729;7.133845;-126303357#5;2056.34;7.31
0.00;3000.00;806271971;10327913.240461;148318.524277;33738.721689;165240.194406;2373.004228;539.798583;1008.862231;14.488208;3.295702;4391.618100;63.067756;14.346323;238.871569;3.430420;0.780334;0;0;0;4439.467785;63.754923;14.502636;-126303357#6;1201.25;3.92
0.00;3000.00;806271971;7681143.163265;275886.614664;37567.878998;405115.093113;14550.676795;1981.386686;2025.422541;72.747891;9.906185;3463.585409;124.402948;16.940129;183.171250;6.579033;0.895876;0;0;0;3301.966219;118.598008;16.149662;-126303358#0;3715.51;18.17
