interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;5276184.195569;41273.931126;28550.598995;75900.715118;593.747446;410.715548;477.258456;3.733443;2.582551;2124.583897;16.619952;11.496593;117.650261;0.920341;0.636632;0;0;0;2267.983896;17.741725;12.272562;-126303358#2;1136.11;6.15
0.00;3000.00;806271971;4298673.515781;117263.201158;21241.520439;69591.236681;1898.374267;343.879029;423.702029;11.558137;2.093687;1834.266223;50.036814;9.063867;100.131071;2.731468;0.494789;0;0;0;1847.790180;50.405733;9.130694;-126303358#4;380.87;1.88
0.00;3000.00;806271971;9624873.723667;150722.281984;48092.236001;146481.937460;2293.857823;731.920658;903.512310;14.148699;4.514545;4138.820203;64.812531;20.680284;215.527827;3.375093;1.076920;0;0;0;4137.260104;64.788100;20.672488;-126303358#5;788.45;3.94
0.00;3000.00;806271971;5880744.421351;180853.236946;25979.772766;96771.673936;2976.063781;427.514940;581.906306;17.895632;2.570728;2525.689088;77.673678;11.157912;121.123790;3.724976;0.535097;0;0;0;2527.858531;77.740396;11.167496;-126303358#6;783.11;3.46
0.00;3000.00;806271971;5105189.827612;133702.046991;57681.066701;228174.599750;5975.764289;2578.034266;1159.645856;30.370472;13.102277;2281.155222;59.742171;25.773668;118.089819;3.092706;1.334240;0;0;0;2194.586757;57.474991;24.795573;-126303358#7;2025.30;22.88
0.00;3000.00;806271971;2355885.485590;21162.232074;28745.451890;30036.125746;269.805756;366.487256;191.745660;1.722395;2.339594;944.897388;8.487738;11.529212;39.901749;0.358426;0.486863;0;0;0;1012.692402;9.096720;12.356416;-126303358#8;940.17;11.47
0.00;3000.00;806271971;596030.755916;871.528028;149025.848026;6953.336002;10.167306;1738.545845;45.463043;0.066477;11.367146;231.272611;0.338171;57.825199;9.192868;0.013442;2.298497;0;0;0;256.208655;0.374633;64.059969;-130907973;265.06;66.27
0.00;3000.00;806271971;83860.768225;741.310658;27084.811765;762.416382;6.739592;246.240341;5.430876;0.048008;1.754030;32.287837;0.285417;10.428118;1.277774;0.011295;0.412687;0;0;0;36.048088;0.318657;11.642580;-130908011#0;31.30;10.11
0.00;3000.00;806271971;682304.913011;28618.171815;24671.512010;37307.781470;1564.814322;1349.014731;185.872186;7.796107;6.720966;306.809999;12.868647;11.093965;16.140981;0.677007;0.583643;0;0;0;293.310248;12.302422;10.605826;-130908011#1;344.83;12.47
0.00;3000.00;806271971;59477.193021;6126.406148;1681.010486;642.284173;66.158026;18.152949;4.312158;0.444171;0.121875;23.393139;2.409594;0.661163;0.958181;0.098697;0.027081;0;0;0;25.566642;2.633474;0.722593;-130908011#2;37.97;1.07
