tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
781.00;130908297_0;17.87;10.60;636.00;0.00;-800638464#3_0;5.10;0.00;tripinfo_636 emissions_636;145.00;636;0;1316.67;1.05;0.00;78.07;DEFAULT_VEHTYPE;;2;47.00;536613.735638;13195.653059;72.969514;229.077389;11.412579;0;230.668861
781.00;-421789044#0_0;165.10;10.10;665.00;0.00;-6055576#1_0;5.10;0.00;tripinfo_665 emissions_665;116.00;665;0;948.46;0.93;0.00;36.71;DEFAULT_VEHTYPE;;3;13.00;268471.558476;4785.513676;28.069233;110.061132;4.706922;0;115.405001
781.00;-130908153#1_0;42.56;17.84;713.00;0.00;507036327#1_0;5.10;0.00;tripinfo_713 emissions_713;68.00;713;0;437.12;0.99;0.00;37.87;DEFAULT_VEHTYPE;;1;17.00;220200.303839;5579.550396;30.613351;94.257386;4.479768;0;94.655622
783.00;126303358#3_1;0.20;30.23;657.00;0.00;-6061786#4_0;5.10;0.00;tripinfo_657 emissions_657;126.00;657;0;1464.32;1.10;0.00;59.12;DEFAULT_VEHTYPE;;1;33.00;616596.423764;12881.418198;73.553320;261.430438;13.336571;0;265.048263
786.00;126303352#1_2;14.46;7.67;467.00;0.00;-800638464#1_0;0.34;0.00;tripinfo_467 emissions_467;319.00;467;0;1834.59;0.98;0.00;228.95;DEFAULT_VEHTYPE;;6;139.00;1058625.696013;31581.399058;169.074333;459.832358;23.021169;0;455.064492
786.00;6061782#0_0;17.91;10.42;692.00;0.00;130908023#1_0;5.10;0.00;tripinfo_692 emissions_692;94.00;692;0;858.98;1.01;0.00;37.42;DEFAULT_VEHTYPE;;1;17.00;298567.180540;6203.256715;35.334600;125.306829;5.856592;0;128.341804
787.00;-6057932#6_0;38.40;14.07;598.00;0.00;-6063369#4_0;5.10;0.00;tripinfo_598 emissions_598;189.00;598;0;1260.27;1.14;0.00;127.29;DEFAULT_VEHTYPE;;3;86.00;664134.549326;19773.390221;105.910401;288.278778;14.618916;0;285.486997
787.00;-126303358#5_0;76.63;23.44;696.00;0.00;-6054382#0_0;5.10;0.00;tripinfo_696 emissions_696;91.00;696;0;712.89;1.11;0.00;48.80;DEFAULT_VEHTYPE;;2;16.00;337745.462208;7198.172992;40.824785;143.455842;6.826552;0;145.182748
788.00;-6062245_0;145.97;14.27;695.00;0.00;130908064#4_0;5.10;0.00;tripinfo_695 emissions_695;93.00;695;0;760.52;1.07;0.00;55.40;DEFAULT_VEHTYPE;;2;32.00;366029.336105;8759.907508;48.685676;156.727715;7.817336;0;157.341142
789.00;6056755_0;133.88;13.18;731.00;0.00;6056686#1_0;5.10;0.00;tripinfo_731 emissions_731;58.00;731;0;592.22;1.00;0.00;14.12;DEFAULT_VEHTYPE;;0;0.00;182196.558402;2999.812199;17.955209;75.201152;3.314349;0;78.318521
