tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
2006.00;6054382#4_0;147.01;13.38;1954.00;0.00;6063369#4_0;5.10;0.00;tripinfo_1954 emissions_1954;52.00;1954;0;563.39;1.00;0.00;9.59;DEFAULT_VEHTYPE;;0;0.00;171266.135618;2542.524577;15.591807;69.993479;3.034404;0;73.619900
2007.00;-806271971_0;54.57;8.47;1440.00;0.00;806271971_0;7.10;0.00;tripinfo_Flow7.15 emissions_Flow7.15;567.00;Flow7.15;0;2031.59;1.00;195.00;230.11;bus;;5;81.00;5702434.603119;12347.684456;2668.131143;49832.024063;1274.028531;0;2431.283270
2007.00;6057920_0;133.49;11.52;1777.00;0.00;-507342038#0_0;5.10;0.00;tripinfo_1777 emissions_1777;230.00;1777;0;1524.45;0.88;0.00;118.80;DEFAULT_VEHTYPE;;3;77.00;657205.119306;18921.368425;101.657287;280.012257;13.341923;0;282.509250
2009.00;6058243#1_0;35.45;12.22;1830.00;0.00;-507341800#0_0;5.10;0.00;tripinfo_1830 emissions_1830;179.00;1830;0;1117.49;0.93;0.00;97.13;DEFAULT_VEHTYPE;;3;67.00;504585.498684;15032.758863;80.353676;215.504374;10.322100;0;216.903782
2009.00;-507342041#2_0;21.31;9.12;1925.00;0.00;-6058243#1_0;5.10;0.00;tripinfo_1925 emissions_1925;84.00;1925;0;663.35;0.68;0.00;11.80;DEFAULT_VEHTYPE;;0;0.00;159953.402241;3138.614645;17.973783;64.645815;2.584959;0;68.757991
2009.00;-6061786#3_0;22.02;15.32;1975.00;0.00;6061786#8_0;5.10;0.00;tripinfo_1975 emissions_1975;34.00;1975;0;364.65;1.13;0.00;9.07;DEFAULT_VEHTYPE;;0;0.00;137935.177420;2274.927782;13.591873;57.339567;2.607773;0;59.292312
2011.00;-6061783#2_0;35.27;13.49;1860.00;0.00;637504388#1_0;5.10;0.00;tripinfo_1860 emissions_1860;151.00;1860;0;1664.97;1.06;0.00;70.56;DEFAULT_VEHTYPE;;1;21.00;658798.027041;12372.706650;72.115736;279.038991;13.564820;0;283.188343
2011.00;507341800#2_0;21.57;9.94;1872.00;0.00;6054093#2_0;5.10;0.00;tripinfo_1872 emissions_1872;139.00;1872;0;1425.23;0.85;0.00;23.74;DEFAULT_VEHTYPE;;0;0.00;394429.070171;6125.617721;37.165832;161.584832;6.982119;0;169.548192
2012.00;6055573#1_0;18.20;14.93;1808.00;0.00;126303358#2_0;5.10;0.00;tripinfo_1808 emissions_1808;204.00;1808;0;1015.51;1.09;0.00;155.36;DEFAULT_VEHTYPE;;2;117.00;681642.212569;24061.022272;125.778022;298.449383;15.186442;0;293.015701
2013.00;6061786#0_0;83.50;13.07;1811.00;0.00;421790824#3_0;5.10;0.00;tripinfo_1811 emissions_1811;202.00;1811;0;1714.09;1.02;0.00;116.49;DEFAULT_VEHTYPE;;2;59.00;786433.588303;18587.473939;103.508374;337.268418;16.690699;0;338.055687
2013.00;-507342041#4_0;28.25;11.55;1892.00;0.00;-637504388#2_0;5.10;0.00;tripinfo_1892 emissions_1892;121.00;1892;0;893.88;0.97;0.00;64.86;DEFAULT_VEHTYPE;;2;38.00;408132.763727;10729.443944;58.554534;174.106134;8.415097;0;175.440843
2015.00;131052367_0;78.53;17.31;1830.00;2.00;6054053#3_0;5.10;0.00;tripinfo_1828 emissions_1828;185.00;1828;0;1907.65;1.28;0.00;87.80;DEFAULT_VEHTYPE;;2;20.00;756521.884289;14001.391959;81.860350;320.895854;15.455230;0;325.195422
2015.00;-126303358#5_1;76.63;19.23;1853.00;0.00;130908064#6_0;5.10;0.00;tripinfo_1853 emissions_1853;162.00;1853;0;1476.40;0.94;0.00;87.90;DEFAULT_VEHTYPE;;3;40.00;606282.738157;12983.233756;73.637960;257.217142;12.525520;0;260.615621
2015.00;507341800#2_0;21.57;10.02;1945.00;0.00;6055573#2_0;5.10;0.00;tripinfo_1945 emissions_1945;70.00;1945;0;539.63;0.88;0.00;21.99;DEFAULT_VEHTYPE;;2;5.00;163101.947034;3244.251422;18.590562;67.625132;2.947008;0;70.111026
2017.00;-126303358#7_1;45.83;14.89;1814.00;0.00;130908064#7_0;5.10;0.00;tripinfo_1814 emissions_1814;203.00;1814;0;1770.21;0.87;0.00;108.66;DEFAULT_VEHTYPE;;3;62.00;699574.718443;17160.261546;94.897334;299.025329;14.764922;0;300.719315
2020.00;-421790824#3_0;37.51;14.51;1859.00;0.00;684178509#1_0;5.10;0.00;tripinfo_1859 emissions_1859;161.00;1859;0;1213.46;1.09;0.00;91.37;DEFAULT_VEHTYPE;;1;60.00;575134.163642;16287.238596;87.884576;248.360105;12.304826;0;247.228735
2025.00;6061786#4_0;34.48;5.30;1924.00;4.00;806271971_1;5.10;0.00;tripinfo_Flow4.20 emissions_Flow4.20;101.00;Flow4.20;0;832.18;1.03;21.00;19.68;motorcycle;;0;0.00;357107.949025;15259.469516;66.472547;76.323769;22.110912;0;153.525271
2026.00;6054454#1_0;24.45;12.38;1905.00;0.00;-800638464#3_0;5.10;0.00;tripinfo_1905 emissions_1905;121.00;1905;0;764.24;0.99;0.00;77.64;DEFAULT_VEHTYPE;;3;41.00;449342.341632;11269.133697;62.050243;194.225339;9.526879;0;193.154329
2029.00;-130908023#2_2;0.13;13.72;1692.00;0.00;6061786#13_0;5.10;0.00;tripinfo_1692 emissions_1692;337.00;1692;0;1849.11;1.04;0.00;263.92;DEFAULT_VEHTYPE;;7;170.00;1165790.135755;36118.707634;192.369866;508.958218;25.952337;0;501.130929
2029.00;421800694#4_0;57.37;18.33;1901.00;0.00;6054524#5_0;5.10;0.00;tripinfo_1901 emissions_1901;128.00;1901;0;683.99;1.13;0.00;92.79;DEFAULT_VEHTYPE;;2;57.00;403036.122741;13148.062687;69.376824;175.074370;8.673177;0;173.251527
2030.00;-130908153#3_0;33.87;13.30;1882.00;0.00;130908064#6_0;5.10;0.00;tripinfo_1882 emissions_1882;148.00;1882;0;1591.45;1.01;0.00;72.13;DEFAULT_VEHTYPE;;2;15.00;601379.968342;11251.773447;65.623874;255.569969;12.386743;0;258.506712
2030.00;6057932#3_0;47.81;11.17;1974.00;0.00;6054053#4_0;5.10;0.00;tripinfo_1974 emissions_1974;56.00;1974;0;496.69;0.86;0.00;11.97;DEFAULT_VEHTYPE;;0;0.00;160244.251637;2858.985666;16.763503;65.875631;2.811269;0;68.882467
2031.00;-507340350#1_3;31.64;14.38;1835.00;0.00;6055576#2_0;5.10;0.00;tripinfo_1835 emissions_1835;196.00;1835;0;894.43;0.99;0.00;141.85;DEFAULT_VEHTYPE;;3;100.00;589252.782440;20321.972860;106.490233;256.411226;12.735632;0;253.300600
2034.00;6057932#2_0;34.34;15.60;1913.00;0.00;-6056686#3_0;0.85;0.00;tripinfo_1913 emissions_1913;121.00;1913;0;1033.87;1.17;0.00;66.82;DEFAULT_VEHTYPE;;2;31.00;471827.154967;10420.752034;58.749539;201.486201;9.813700;0;202.818863
2034.00;6054524#4_0;9.20;6.32;1995.00;0.00;-6061782#3_0;5.10;0.00;tripinfo_1995 emissions_1995;39.00;1995;0;309.92;1.01;0.00;13.77;DEFAULT_VEHTYPE;;0;0.00;154917.920744;2964.275644;17.167412;65.831771;3.018973;0;66.592585
2035.00;-6055573#3_0;18.93;15.45;1917.00;0.00;57692667#1_0;5.10;0.00;tripinfo_1917 emissions_1917;118.00;1917;0;881.04;1.11;0.00;67.06;DEFAULT_VEHTYPE;;2;41.00;392901.204913;10638.692793;57.727941;168.253381;8.225923;0;168.893450
2036.00;-507340350#2_0;0.82;12.07;1887.00;0.00;507341800#0_0;5.10;0.00;tripinfo_1887 emissions_1887;149.00;1887;0;699.84;0.92;0.00;92.63;DEFAULT_VEHTYPE;;2;71.00;394101.163460;14228.657901;74.063346;171.039923;8.356311;0;169.411998
2039.00;6060452#7_0;23.11;9.90;1919.00;0.00;-421800694#4_0;5.10;0.00;tripinfo_1919 emissions_1919;120.00;1919;0;657.84;1.13;0.00;84.56;DEFAULT_VEHTYPE;;1;66.00;419348.162340;14098.103348;74.077942;182.101850;9.230431;0;180.263695
